"id","vocabulary_text","vocabulary_sound","kanji_text","kanji_meaning","vocabulary_meaning","highlighted","lesson_id"
"606","はる","haru.mp3","春","XUÂN","mùa xuân","","12"
"607","なつ","natsu.mp3","夏","HẠ","mùa hè","","12"
"608","あき","aki.mp3","秋","THU","mùa thu","","12"
"609","ふゆ","fuyu.mp3","冬","ĐÔNG","mùa đông","","12"
"610","てんき","tenki.mp3","天気","THIÊN KHÍ","thời tiết","","12"
"611","あめ","ame.mp3","雨","VŨ","mưa","","12"
"612","ゆき","yuki.mp3","雪","TUYẾT","tuyết","","12"
"613","くもり","kumori.mp3","曇り","ĐÀM","có mây","","12"
"614","ホテル","k_hoteru.mp3","","","khách sạn","","12"
"615","くうこう","kuukou.mp3","空港","KHÔNG CẢNG","sân bay","","12"
"616","うみ","umi.mp3","海","HẢI","biển, đại dương","","12"
"617","せかい","sekai.mp3","世界","THẾ GIỚI","thế giới","","12"
"618","パーティー","k_paati.mp3","","","tiệc (~をします：tổ chức tiệc)","","12"
"619","「お」まつり","omatsuri.mp3","「お」祭り","TẾ","lễ hội","","12"
"620","しけん","shiken.mp3","試験","THÍ NGHIỆM","kỳ thi, bài thi","","12"
"621","すきやき","sukiyaki.mp3","すき焼き","THIÊU","Sukiyaki (món thịt bò nấu rau)","","12"
"622","さしみ","sashimi.mp3","刺身","THÍCH THÂN","Sashimi (món gỏi cá sống)","","12"
"623","「お」すし","sushi.mp3","","","Sushi","","12"
"624","てんぷら","tenpura.mp3","","","Tempura (món hải sản và rau chiên tẩm bột)","","12"
"625","いけばな","ikebana.mp3","生け花","SINH HOA","Nghệ thuật cắm hoa (～をします：cắm hoa)","","12"
"626","もみじ","momiji.mp3","紅葉","HỒNG DIỆP","lá đỏ","","12"
"627","どちら","dochira.mp3","","","phía nào, đằng nào, chỗ nào, đâu","","12"
"628","どちらも","dochiramo.mp3","","","cả hai","","12"
"629","ずっと","zutto.mp3","","","(hơn) hẳn","","12"
"630","はじめて","hajimete.mp3","初めて","SƠ","lần đầu tiên","","12"
"631","ただいま。","tadaima.mp3","","","Tôi đã về đây. (dùng nói khi về đến nhà)","","12"
"632","おかえりなさい。","okaerinasai.mp3","お帰りなさい。","QUY","Anh/Chị đã về đấy à.","","12"
"633","すごいですね。","sugoidesune.mp3","","","Ghê quá nhỉ./ hay quá nhỉ.","","12"
"634","でも","demo.mp3","","","Nhưng","","12"
"635","つかれました。","tsukaremashita.wav","疲れました。","BÌ","Tôi mệt rồi","","12"
"636","ぎおんまつり","gionmatsuri.wav","祗園祭","KỲ VIÊN TẾ","Lễ hội Gi-ôn (lễ hội nổi tiếng nhất ở Kyoto)","","12"
"637","ホンコン","honkon.wav","香港","HƯƠNG CẢNG","Hồng Kông","","12"
"638","シンガポール","shingaporu.wav","","","Singapore","","12"
"639","まいにちや","mainichiya.wav","毎日屋","MỖI NHẬT ỐC","tên một siêu thị (giả tưởng)","","12"
"640","ＡＣＢストア","acbstore.wav","","","tên một siêu thị (giả tưởng)","","12"
"641","ジャパン","japan.wav","","","tên một siêu thị (giả tưởng)","","12"
"642","あそびます","asobimasu.mp3","遊びます","DU","chơi","","13"
"643","およぎます","oyogimasu.mp3","泳ぎます","VỊNH","bơi","","13"
"644","むかえます","mukaemasu.mp3","迎えます","NGHINH","đón","","13"
"645","つかれます","tsukaremasu.mp3","疲れます","BÌ","mệt","","13"
"646","[てがみを～]だします","dashimasu.mp3","[手紙を～]出します","THỦ CHỈ XUẤT","gửi[thư]","","13"
"647","[きっさてんに～]はいります","hairimasu.mp3","[喫茶店に～]入ります","KHIẾT TRÀ ĐIẾM NHẬP","vào [quán giải khát]","","13"
"648","[きっさてんを～]でます","demasu.mp3","[喫茶店を～]出ます","KHIẾT TRÀ ĐIẾM XUẤT","ra, ra khỏi [quán giải khát]","","13"
"649","けっこんします","kekkonshimasu.mp3","結婚します","KẾT HÔN","kết hôn, lập gia đình, cưới","","13"
"650","かいものします","kaimonoshimasu.mp3","買い物します","MÃI VẬT","mua hàng","","13"
"651","しょくじします","syokujishimasu.mp3","食事します","THỰC SỰ","ăn cơm","","13"
"652","[こうえんを～]さんぽします","sanposhimasu.mp3","[公園を～]散歩します","CÔNG VIÊN TÁN BỘ","đi dạo [ở công viên]","","13"
"653","たいへん「な」","taihen.mp3","大変「な」","ĐẠI BIẾN","vất vả, khó khăn, khổ","","13"
"654","ほしい","hoshii.mp3","欲しい","DỤC","muốn có","","13"
"655","さびしい","sabishii.mp3","寂しい","TỊCH","buồn, cô đơn","","13"
"656","ひろい","hiroi.mp3","広い","QUẢNG","rộng","","13"
"657","せまい","semai.mp3","狭い","HIỆP","chật, hẹp","","13"
"658","しやくしょ","shiyakusyo.mp3","市役所","THỊ DỊCH SỞ","văn phòng hành chính quận, thành phố","","13"
"659","プール","k_puuruu.mp3","","","bể bơi","","13"
"660","かわ","kawa.mp3","川","XUYÊN","sông","","13"
"661","けいざい","keizai.mp3","経済","KINH TẾ","kinh tế","","13"
"662","びじゅつ","bijutsu.mp3","美術","MỸ THUẬT","mỹ thuật","","13"
"663","つり","tsuri.mp3","釣り","ĐIẾU","việc câu cá (~をします：câu cá)","","13"
"664","スキー","k_sukii.mp3","","","việc trượt tuyết (~をします：trượt tuyết)","","13"
"665","かいぎ","kaigi.mp3","会議","HỘI NGHỊ","họp, cuộc họp (~をします: họp, tổ chức cuộc họp)","","13"
"666","とうろく","touroku.mp3","登録","ĐĂNG LỤC","việc đăng ký (~をします：đăng ký)","","13"
"667","しゅうまつ","syuumatsu.mp3","週末","CHU MẠT","cuối tuần","","13"
"668","～ごろ","goro.mp3","","","khoảng ~ (dùng cho thời gian)","","13"
"669","なにか","nanika.mp3","何か","HÀ","cái gì đó","","13"
"670","どこか","dokoka.mp3","","","đâu đó, chỗ nào đó","","13"
"671","おなかが　すきました。","onakagasukimashita.mp3","","","(tôi) đói rồi.","","13"
"672","おなかが　いっぱいです。","onakagaippaidesu.mp3","","","(tôi) no rồi.","","13"
"673","のどが　かわきました。","nodogakawakimashita.mp3","","","(tôi) khát.","","13"
"674","そうですね。","soudesune.mp3","","","Thế à. Như vậy nhỉ","","13"
"675","そうしましょう。","soushimasyou.mp3","","","Nhất trí./ Chúng ta thống nhất như thế.","","13"
"676","ごちゅうもん","gochuumonha.mp3","ご注文は？","CHÚ VĂN","Anh/Chị dùng món gì ạ","","13"
"677","ていしょく","teisyoku.mp3","","","cơm suất, cơm phần","","13"
"678","ぎゅうどん","gyuudon.mp3","牛どん","NGƯU","món cơm thịt bò","","13"
"679","「しょうしょう」おまちください","syousyouomachikudasai.mp3","[少々] お待ちください。","THIỂU ĐÃI","Xin anh/chị vui lòng đợi [một chút].","","13"
"680","べつべつに","betsubetsuni.mp3","別々に","BIỆT","riêng ra/ để riêng","","13"
"681","ロシア","roshia.wav","","","Nga","","13"
"682","つるや","tsuruya.wav","","","tên một nhà hàng (giả tưởng)","","13"
"683","おはようテレビ","ohayouterebi.wav","","","tên một chương trình truyền hình (giả tưởng)","","13"
"684","つけます","tsukemasu.mp3","","","bật (điện, máy điều hòa)","","14"
"685","けします","keshimasu.mp3","消します","TIÊU","tắt (điện, máy điều hòa)","","14"
"686","あけます","akemasu.mp3","開けます","KHAI","mở (cửa, cửa sổ)","","14"
"687","しめます","shimemasu.mp3","閉めます","BẾ","đóng (cửa, cửa sổ)","","14"
"688","いそぎます","isogimasu.mp3","急ぎます","CẤP","vội, gấp","","14"
"689","まちます","machimasu.mp3","待ちます","ĐÃI","đợi, chờ","","14"
"690","とめます","tomemasu.mp3","止めます","CHỈ","dừng (băng, ôt ô), đỗ (ôtô)","","14"
"691","[みぎへ～] まがります","magarimasu.mp3","[右へ～]曲がります","HỮU KHÚC","rẽ, quẹo [phải]","","14"
"692","もちます","mochimasu.mp3","持ちます","TRÌ","mang, cầm","","14"
"693","とります","torimasu.mp3","取ります","THỦ","lấy (muối)","","14"
"694","てつだいます","tetsudaimasu.mp3","手伝います","THỦ TRUYỀN","giúp (làm việc)","","14"
"695","よびます","yobimasu.mp3","呼びます","HÔ","gọi (taxi, tên)","","14"
"696","はなします","hanashimasu.mp3","話します","THOẠI","nói, nói chuyện","","14"
"697","みせます","misemasu.mp3","見せます","KIẾN","cho xem, trình","","14"
"698","[じゅうしょを～]おしえます","oshiemasu.mp3","[住所を～]教えます","TRÚ SỞ GIÁO","nói, cho biết [địa chỉ]","","14"
"699","はじめます","hajimemasu.mp3","始めます","THỦY","bắt đầu","","14"
"700","[あめが～] ふります","furimasu.mp3","[雨が～]降ります","VŨ GIÁNG/ HÀNG","rơi [mưa, tuyết~]","","14"
"701","コピーします","k_kopyyshimasu.mp3","","","copy","","14"
"702","エアコン","k_eakon.mp3","","","máy điều hòa","","14"
"703","パスポート","k_pasupooto.mp3","","","hộ chiếu","","14"
"704","なまえ","namae.mp3","名前","DANH TIỀN","tên","","14"
"705","じゅうしょ","juusyo.mp3","住所","TRÚ SỞ","địa chỉ","","14"
"706","ちず","chizu.mp3","地図","ĐỊA ĐỒ","bản đồ","","14"
"707","しお","shio.mp3","塩","DIÊM","muối","","14"
"708","さとう","satou.mp3","砂糖","SA ĐƯỜNG","đường","","14"
"709","よみかた","yomikata.mp3","読み方","ĐỘC PHƯƠNG","cách đọc","","14"
"710","～かた","kata.mp3","～方","PHƯƠNG","cách ~","","14"
"711","ゆっくり","yukkuri.mp3","","","chậm, thong thả, thoải mái","","14"
"712","すぐ","sugu.mp3","","","ngay, lập tức","","14"
"713","また","mata.mp3","","","lại (~đến)","","14"
"714","あとで","atode.mp3","","","sau","","14"
"715","もう　すこし","mousukoshi.mp3","もう少し","THIẾU","thêm một chút nữa thôi","","14"
"716","もう～","mou.mp3","","","thêm~","","14"
"717","いいですよ。","iidesuyo.mp3","","","Được chứ./được ạ.","","14"
"718","さあ","saa.mp3","","","thôi,/nào","","14"
"719","あれ？","are.mp3","","","Ô!","","14"
"720","しんごうをみぎへまがってください","shingouwomigihemagattekudasai.mp3","信号を右へ曲がってください","TÍN HIỆU HỮU KHÚC","Anh/ Chị rẽ phải ở chổ đèn tín hiệu.","","14"
"721","まっすぐ","massugu.mp3","","","thẳng","","14"
"722","これでおねがいします。","koredeonegaishimasu.mp3","これでお願いします。","NGUYỆN","Gởi anh tiền này.","","14"
"723","おつり","otsuri.mp3","お釣り","ĐIẾU","tiền lẻ","","14"
"724","うめだ","umeda.wav","梅田","MAI ĐIỀN","tên một địa phương ở Osaka","","14"
"725","たちます","tachimasu.mp3","立ちます","LẬP","đứng","","15"
"726","すわります","suwarimasu.mp3","座ります","TỌA","ngồi","","15"
"727","つかいます","tsukaimasu.mp3","使います","SỬ, SỨ","dùng, sử dụng","","15"
"728","おきます","okimasu.mp3","置きます","TRÍ","dậy, thức dậy","","15"
"729","つくります","tukurimasu.mp3","作ります, 造ります","TÁC TẠO","làm, chế tạo, sản xuất","","15"
"730","うります","urimasu.mp3","売ります","MẠI","bán","","15"
"731","しります","shirimasu.mp3","知ります","TRI","biết","","15"
"732","すみます","sumimasu.mp3","住みます","TRÚ, TRỤ","sống, ở","","15"
"733","けんきゅうします","kenkyuushimasu.mp3","研究します","NGHIÊN CỬU","nghiên cứu","","15"
"734","しって　います","shitteimasu.mp3","知って　います","TRI","biết","","15"
"735","[おおさかに～]すんで　います","sundeimasu.mp3","[大阪に～]住んで　います","ĐẠI PHẢN TRÚ/TRỤ","sống [ở Osaka]","","15"
"736","しりょう","shiryou.mp3","資料","TƯ LIỆU","tài liệu, tư liệu","","15"
"737","カタログ","k_katarogu.mp3","","","ca-ta-lô","","15"
"738","じこくひょう","jikokuhyou.mp3","時刻表","THỜI KHẮC BIỂU","bảng giờ tàu chạy","","15"
"739","ふく","fuku.mp3","服","PHỤC","quần áo","","15"
"740","せいひん","seihin.mp3","製品","CHẾ PHẨM","sản phẩm","","15"
"741","ソフト","k_sofuto.mp3","","","phần mềm","","15"
"742","せんもん","senmon.mp3","専門","CHUYÊN MÔN","chuyên môn","","15"
"743","はいしゃ","haisya.mp3","歯医者","XỈ Y GIẢ","nha sĩ","","15"
"744","とこや","tokoya.mp3","床屋","SÀNG ỐC","hiệu cắt tóc","","15"
"745","プレイガイド","k_pureigaido.mp3","","","quầy bán vé (trong nhà hát)","","15"
"746","どくしん","dokushin.mp3","独身","ĐỘC THÂN","độc thân","","15"
"747","とくに","tokuni.mp3","特に","ĐẶC","đặc biệt","","15"
"748","おもいだします","omoidashimasu.mp3","思い出します","TƯ XUẤT","nhớ lại, hồi tưởng","","15"
"749","ごかぞく","gokazoku.mp3","ご家族","GIA TỘC","gia đình (dùng cho người khác)","","15"
"750","いらっしゃいます","irassyaimasu.mp3","","","thể kính trọng của 「います」","","15"
"751","こうこう","koukou.mp3","高校","CAO HIỆU","trường trung học phổ thông","","15"
"752","にっぽんばし","nipponbashi.wav","日本橋","NHẬT BẢN KIỀU","tên một khu phố buôn bán ở Osaka","","15"
"753","[でんしゃに～] のります","norimasu.mp3","[電車に～]乗ります","ĐIỆN XA THỪA","đi, lên [tàu]","","16"
"754","[でんしゃを～]おります","orimasu.mp3","[電車を～]降ります","ĐIỆN XA GIÁNG/HÀNG","xuống [tàu]","","16"
"755","のりかえます","norikaemasu.mp3","乗り換えます","THỪA HOÁN","chuyển, đổi (tàu)","","16"
"756","[シャワーを～]あびます","abimasu.mp3","[シャワーを～]浴びます","DỤC","tắm [vòi hoa sen]","","16"
"757","いれます","iremasu.mp3","入れます","NHẬP","cho vào, bỏ vào","","16"
"758","だします","dashimasu.mp3","出します","XUẤT","lấy ra, rút (tiền)","","16"
"759","[だいがくに～] はいります","hairimasu.mp3","[大学に～]入ります","ĐẠI HỌC NHẬP","vào, nhập học [đại học]","","16"
"760","[だいがくを～] でます","demasu.mp3","[大学を～]出ます","ĐẠI HỌC XUẤT","ra, tốt nghiệp [đại học]","","16"
"761","[かいしゃを～]やめます","yamemasu.mp3","[会社を～]やめます","HỘI XÃ","bỏ, thôi [việc công ty]","","16"
"762","おします","oshimasu.mp3","押します","ÁP","bấm, ấn (nút)","","16"
"763","わかい","wakai.mp3","若い","NHƯỢC","trẻ","","16"
"764","ながい","nagai.mp3","長い","TRƯỜNG","dài","","16"
"765","みじかい","mijikai.mp3","短い","ĐOẢN","ngắn","","16"
"766","あかるい","akarui.mp3","明るい","MINH","sáng","","16"
"767","くらい","kurai.mp3","暗い","ÁM","tối","","16"
"768","せが　たかい","segatakai.mp3","背が　高い","BỐI CAO","cao (dùng cho người)","","16"
"769","あたまが　いい","atamagaii.mp3","頭が　いい","ĐẦU","thông minh","","16"
"770","からだ","karada.mp3","体","THỂ","người, cơ thể","","16"
"771","あたま","atama.mp3","頭","ĐẦU","đầu","","16"
"772","かみ","kami.mp3","髪","PHÁT","giấy","","16"
"773","かお","kao.mp3","顔","NHAN","mặt","","16"
"774","め","me.mp3","目","MỤC","mắt","","16"
"775","みみ","mimi.mp3","耳","NHĨ","tai","","16"
"776","くち","kuchi.mp3","口","KHẨU","miệng","","16"
"777","は","ha.mp3","歯","XỈ","răng","","16"
"778","おなか","onaka.mp3","","","bụng","","16"
"779","あし","ashi.mp3","足","TÚC","chân","","16"
"780","サービス","k_saabisu.mp3","","","dịch vụ","","16"
"781","ジョギング","k_jogingu.mp3","","","việc chạy bộ (~をします: chạy bộ)","","16"
"782","シャワー","k_syawaa.mp3","","","vòi hoa sen","","16"
"783","みどり","midori.mp3","緑","LỤC","màu xanh lá cây","","16"
"784","[お]てら","otera.mp3","[お]寺","TỰ","chùa","","16"
"785","じんじゃ","jinja.mp3","神社","THẦN XÃ","đền thờ đạo thần","","16"
"786","りゅうがくせい","ryuugakusei.mp3","留学生","LƯU HỌC SINH","lưu học sinh, du học sinh","","16"
"787","一ばん","ban.mp3","一番","PHIÊN","số ―","","16"
"788","どうやって","douyatte.mp3","","","làm thế nào~","","16"
"789","どの～","dono.mp3","","","cái nào~ (dùng với trường hợp từ ba thứ trở lên)","","16"
"790","[いいえ、]まだまだです。","iiemadamadadesu.wav","","","[không,] tôi còn kém lắm.","","16"
"791","おひきだしですか","ohikidashidesuka.mp3","お引き出しですか","DẪN XUẤT","Anh/ chị rút tiền ạ?","","16"
"792","まず","mazu.mp3","","","trước hết, đầu tiên","","16"
"793","キャッシュカード","k_kyasshukaado.mp3","","","thẻ ngân hàng, thẻ ATM","","16"
"794","あんしょうばんごう","ansyoubangou.mp3","暗証番号","ÁM CHỨNG PHIÊN HIỆU","mã số bí mật (mật khẩu)","","16"
"795","つぎに","tsugini.mp3","次に","THỨ","tiếp theo","","16"
"796","きんがく","kingaku.mp3","金額","KIM NGẠCH","số tiền, khoản tiền","","16"
"797","かくにん","kakunin.mp3","確認","XÁC NHẬN","sự xác nhận, sự kiểm tra (~します：xác nhận)","","16"
"798","ボタン","k_botan.mp3","","","nút","","16"
"799","ＪＲ","ja.wav","","","công ty đường sắt Nhật Bản","","16"
"800","アジア","ajia.wav","","","châu Á","","16"
"801","バンドン","bandon.wav","","","Bandung (ở Indonesia)","","16"
"802","ベラクルス","berakurusu.wav","","","Veracruz (ở Mexico)","","16"
"803","フランケン","furanken.wav","","","Franken (ở Đức)","","16"
"804","ベトナム","betonamu.wav","","","Việt Nam","","16"
"805","フェ","fue.wav","","","Huế","","16"
"806","だいがくまえ","daigakumae.wav","大学前","ĐẠI HỌC TIỀN","tên một điểm dừng xe buýt (giả tưởng)","","16"
"807","おぼえます","oboemasu.mp3","覚えます","GIÁC","nhớ","","17"
"808","わすれます","wasuremasu.mp3","忘れます","VONG","quên","","17"
"809","なくします","nakushimasu.mp3","","","mất, đánh mất","","17"
"810","[レポートを～]だします","dashimasu.mp3","[レポートを～]出します","XUẤT","nộp[bản/bài báo cáo]","","17"
"811","はらいます","haraimasu.mp3","払います","PHẤT","trả tiền","","17"
"812","かえします","kaeshimasu.mp3","返します","PHẢN","trả lại","","17"
"813","でかけます","dekakemasu.mp3","出かけます","XUẤT","ra ngoài","","17"
"814","ぬぎます","nugimasu.mp3","脱ぎます","THOÁT","cởi (quần áo, giầy)","","17"
"815","もっていきます","motteikimasu.mp3","持って行きます","TRÌ HÀNH","mang đi, mang theo","","17"
"816","もってきます","mottekimasu.mp3","持って来ます","TRÌ LAI","mang đến","","17"
"817","しんぱいします","shinpaishimasu.mp3","心配します","TÂM PHỐI","lo lắng","","17"
"818","ざんぎょうします","zangyoushimasu.mp3","残業します","TÀN NGHIỆP","làm thêm, làm quá giờ","","17"
"819","しゅっちょうします","shucchoushimasu.mp3","出張します","XUẤT TRƯƠNG","đi công tác","","17"
"820","[くすりを～]のみます","nomimasu.mp3","[薬を～]飲みます","DƯỢC ẨM","uống [thuốc]","","17"
"821","[おふろに～]はいります","haraimasu.mp3","[おふろに～]入ります","NHẬP","tắm bồn [vào bồn tắm]","","17"
"822","たいせつ[な]","taisetsu.mp3","大切[な]","ĐẠI THIẾT","quan trọng, quý giá","","17"
"823","だいじょうぶ[な]","daijobu.mp3","大丈夫[な]","ĐẠI TRƯỢNG PHU","không sao, không có vấn đề gì","","17"
"824","あぶない","abunai.mp3","危ない","NGUY","nguy hiểm","","17"
"825","もんだい","mondai.mp3","問題","VẤN ĐỀ","vấn đề","","17"
"826","こたえ","kotae.mp3","答え","ĐÁP","câu trả lời","","17"
"827","きんえん","kinen.mp3","禁煙","CẤM YÊN","cấm hút thuốc","","17"
"828","[けんこう]ほけんしょう","hokensyou.mp3","[健康]保険証","KIỆN KHANG","thẻ bảo hiểm [y tế]","","17"
"829","かぜ","kaze.mp3","","","cảm, cúm","","17"
"830","ねつ","netsu.mp3","熱","NHIỆT","sốt","","17"
"831","びょうき","byouki.mp3","病気","BỆNH KHÍ","ốm, bệnh","","17"
"832","くすり","kusuri.mp3","薬","DƯỢC","thuốc","","17"
"833","[お]ふろ","ofuro.mp3","","","bồn tắm","","17"
"834","うわぎ","uwagi.mp3","上着","THƯỢNG TRƯỚC","áo khoác","","17"
"835","したぎ","shitagi.mp3","下着","HẠ TRƯỚC","quần áo lót","","17"
"836","せんせい","sensei.mp3","先生","TIÊN SINH","thầy/ cô","","17"
"837","２，３にち","23nichi.wav","２，３日","NHẬT","vài ngày","","17"
"838","２，３～","(null)","","","vài~ (“~” là hậu tố chỉ cách đếm)","","17"
"839","～までに","madeni.mp3","","","trước ~ (chỉ thời hạn)","","17"
"840","ですから","desukara.mp3","","","vì thế, vì vậy, do đó","","17"
"841","どうしましたか。","doushimashitaka.mp3","","","Có vần đề gì?/Anh/chị bị làm sao?","","17"
"842","「のどが」いたいです。","nodogaitai.wav","「のどが」痛いです。","THỐNG","Tôi bị đau [~họng].","","17"
"843","おだいじに","odaijini.mp3","お大事に。","ĐẠI SỰ","Anh/chị nhớ giữ gìn sức khỏe.","","17"
"844","できます","dekimasu.mp3","","","có thể","","18"
"845","あらいます","araimasu.mp3","洗います","TẨY","rửa","","18"
"846","ひきます","hikimasu.mp3","弾きます","ĐÀN, ĐẠN","chơi (nhạc cụ)","","18"
"847","うたいます","utaimasu.mp3","歌います","CA","hát","","18"
"848","あつめます","atsumemasu.mp3","集めます","TẬP","sưu tầm, thu thập","","18"
"849","すてます","sutemasu.mp3","捨てます","XẢ","vứt, bỏ đi","","18"
"850","かえます","kaemasu.mp3","換えます","HOÁN","đổi","","18"
"851","うんてんします","untenshimasu.mp3","運転します","VẬN CHUYỂN","lái","","18"
"852","よやくします","yoyakushimasu.mp3","予約します","DỰ ƯỚC","đặt chỗ, đặt trước","","18"
"853","けんがくします","kengakushimasu.mp3","見学します","KIẾN HỌC","thăm quan với mục đích học tập","","18"
"854","ピアノ","k_piano.mp3","","","đàn Piano","","18"
"855","―メートル","k_meetoru.mp3","","","―　mét","","18"
"856","こくさい～","kokusai.mp3","国際～","QUỐC TẾ ~","quốc tế","","18"
"857","げんきん","genkin.mp3","現金","HIỆN KIM","tiền mặt","","18"
"858","しゅみ","syumi.mp3","趣味","THÚ VỊ","sở thích, thú vui","","18"
"859","にっき","nikki.mp3","日記","NHẬT KÝ","nhật ký","","18"
"860","[お]いのり","oinori.mp3","[お]祈り","KỲ","việc cầu nguyện (～をします：cầu nguyện)","","18"
"861","かちょう","kachou.mp3","課長","KHOA TRƯỞNG","tổ trưởng","","18"
"862","ぶちょう","buchou.mp3","部長","BỘ TRƯỞNG","trưởng phòng","","18"
"863","しゃちょう","shachou.mp3","社長","XÃ TRƯỞNG","giám đốc","","18"
"864","どうぶつ","doubutsu.mp3","動物","ĐỘNG VẬT","động vật","","18"
"865","うま","uma.mp3","馬","MÃ","ngựa","","18"
"866","へえ","hee.mp3","","","thế à!","","18"
"867","それはおもしろいですね。","sorehaomoshiroidesune.mp3","","","Hay thật nhỉ.","","18"
"868","なかなか","nakanaka.mp3","","","khó mà~, không dễ, mãi mà (dùng với thể phủ định)","","18"
"869","ぼくじょう","bokujou.mp3","牧場","MỤC TRƯỜNG","trang trại chăn nuôi","","18"
"870","ほんとうですか。","hontoudesuka.mp3","","","Thật không ạ?","","18"
"871","ぜひ","zehi.mp3","","","nhất định, rất","","18"
"872","ビートルズ","bitoruzu.wav","","","Beatles, một băng nhạc nỗi tiếng nước Anh","","18"
"873","[やまに～]のぼります","noborimasu.mp3","[山に～]登ります","SƠN ĐĂNG","leo [núi]","","19"
"874","[ホテルに～]とまります","tomarimasu.mp3","[ホテルに～]泊まります","BẠC","trọ [ở khách sạn]","","19"
"875","そうじします","soujishimasu.mp3","掃除します","TẢO TRỪ","dọn vệ sinh","","19"
"876","せんたくします","sentakushimasu.mp3","洗濯します","TẨY TRẠC","giặt","","19"
"877","れんしゅうします","rensyushimasu.mp3","練習します","LUYỆN TẬP","luyện tập, thực hành","","19"
"878","なります","narimasu.mp3","","","trở thành, trở nên","","19"
"879","ねむい","nemui.mp3","眠い","MIÊN","buồn ngủ","","19"
"880","つよい","tsuyoi.mp3","強い","CƯỜNG","mạnh","","19"
"881","よわい","yowai.mp3","弱い","NHƯỢC","yếu","","19"
"882","ちょうしが　いい","choushigaii.mp3","調子が　いい","ĐIỀU TỬ","trong tình trạng tốt","","19"
"883","ちょうしが　わるい","choushigawarui.mp3","調子が　わるい","ĐIỀU TỬ","trong tình trạng xấu","","19"
"884","ちょうし","choushi.mp3","調子","ĐIỀU TỬ","tình trạng, trạng thái","","19"
"885","ゴルフ","k_gorufu.mp3","","","gôn (～をします:chơi gôn)","","19"
"886","すもう","sumou.mp3","相撲","TƯƠNG PHÁC","vật Sumo","","19"
"887","パチンコ","k_pachinko.mp3","","","trò chơi Pachinko (～をします: chơi trò chơi Pachinko)","","19"
"888","おちゃ","ocha.mp3","お茶","TRÀ","trà (nói chung)","","19"
"889","ひ","hi.mp3","日","NHẬT","ngày","","19"
"890","いちど","ichido.mp3","一度","NHẤT ĐỘ","một lần","","19"
"891","いちども","ichidomo.mp3","一度も","NHẤT ĐỘ","chưa lần nào","","19"
"892","だんだん","dandan.mp3","","","dần dần","","19"
"893","もうすぐ","mousugu.mp3","","","sắp","","19"
"894","おかげさまで","okagesamade.mp3","","","cám ơn anh/ chị (dùng để bày tỏ sự cám ơn khi nhận được sự giúp đỡ của ai đó)","","19"
"895","かんぱい","kanpai.mp3","乾杯","CAN BỘI","nâng cốc!/cạn chén","","19"
"896","じつは","jitsuha.mp3","実は","THỰC","thật ra là/sự tình là","","19"
"897","ダイエット","k_daietto.mp3","","","việc ăn kiêng, chế độ giảm cân (～をします:ăn kiêng)","","19"
"898","なんかいも","nankaimo.mp3","何回も","HÀ HỒI","nhiều lần","","19"
"899","しかし","shikashi.mp3","","","nhưng, tuy nhiên","","19"
"900","むり「な」","muri.mp3","無理[な]","VÔ LÝ","không thể, quá sức","","19"
"901","からだにいい","karadaniii.mp3","体にいい","THỂ","tốt cho sức khỏe","","19"
"902","ケーキ","k_keeki.mp3","","","bánh ga-tô, bánh ngọt","","19"
"903","かつしかほくさい","katsushikahokusai.wav","葛飾北斎","CÁT SỨC BẮC TRAI","Katsushika Hokusai (1760-1849), một họa sĩ nổi tiếng thời Edo","","19"
"904","[ビザが～]いります","irimasu.mp3","[ビザが～]要ります","YẾU","cần [thị thực (visa)]","","20"
"905","しらべます","shirabemasu.mp3","調べます","ĐIỀU","tìm hiểu, điều tra, xem","","20"
"906","なおします","naoshimasu.mp3","直します","TRỰC","sửa, chữa","","20"
"907","しゅうりします","shuurishimasu.mp3","修理します","TU LÝ","sửa chữa, tu sửa","","20"
"908","でんわします","denwashimasu.mp3","電話します","ĐIỆN THOẠI","gọi điện thoại","","20"
"909","ぼく","boku.mp3","僕","BỘC","tớ","","20"
"910","きみ","kimi.mp3","君","QUÂN","cậu, bạn","","20"
"911","～くん","kun.mp3","～君","QUÂN","(hậu tố thêm vào sau tên của em trai)","","20"
"912","うん","un.mp3","","","ừ (cách nói thân mật của 「はい」)","","20"
"913","ううん","uun.mp3","","","không (cách nói thân mật của 「いいえ」)","","20"
"914","サラリーマン","k_sarariiman.mp3","","","người làm việc cho các công ty","","20"
"915","ことば","kotoba.mp3","","","từ, tiếng","","20"
"916","ぶっか","bukka.mp3","物価","VẬT GIÁ","giá cả, mức giá, vật giá","","20"
"917","きもの","kimono.mp3","着物","TRƯỚC VẬT","Kimono (trang phục truyền thống của Nhật Bản)","","20"
"918","ビザ","k_biza.mp3","","","thị thực, Visa","","20"
"919","はじめ","hajime.mp3","始め","THỦY","ban đầu, đầu tiên","","20"
"920","おわり","owari.mp3","終わり","CHUNG","kết thúc","","20"
"921","こっち","kocchi.mp3","","","phía này, chỗ này (cách nói thân mật của 「こちら」)","","20"
"922","そっち","socchi.mp3","","","phía đó, chỗ đó (cách nói thân mật của 「そちら」)","","20"
"923","あっち","acchi.mp3","","","phía kia, chỗ kia (cách nói thân mật của 「あちら」)","","20"
